XFOIL & experimental polar
Polar key
Airfoil,n4412
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd
Max Cl/Cd alpha


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xt
-2.25, 0.05786979312651351, 0.03013782651783234, 0, 0, 0, 0
-2.0, 0.08890559136800971, 0.029669515788632254, 0, 0, 0, 0
-1.75, 0.12516050258042874, 0.029126534733626832, 0, 0, 0, 0
-1.5, 0.15321395055282622, 0.02855015835959911, 0, 0, 0, 0
-1.25, 0.1860205192665998, 0.027662822850482896, 0, 0, 0, 0
-1.0, 0.20428813041851693, 0.026785963025692555, 0, 0, 0, 0
-0.75, 0.25564118986824846, 0.02636702226030896, 0, 0, 0, 0
-0.5, 0.28155107358473114, 0.02639341921401307, 0, 0, 0, 0
-0.25, 0.31081610135395, 0.026411380528231183, 0, 0, 0, 0
0.0, 0.34557983743181964, 0.026316419508181643, 0, 0, 0, 0
0.25, 0.37139652270239304, 0.02638136283777354, 0, 0, 0, 0
0.5, 0.40289831317343594, 0.026343568347669814, 0, 0, 0, 0
0.75, 0.43262933317220137, 0.0263294539930203, 0, 0, 0, 0
1.0, 0.4591916060100495, 0.02641028907365348, 0, 0, 0, 0
1.25, 0.4937689451961005, 0.026269052477310293, 0, 0, 0, 0
1.5, 0.5177216615484871, 0.026440795596776295, 0, 0, 0, 0
1.75, 0.5457751095208845, 0.026501526930569258, 0, 0, 0, 0
2.0, 0.5766245108705621, 0.026469224810614846, 0, 0, 0, 0
2.25, 0.6010432194524954, 0.026677104830588074, 0, 0, 0, 0
2.5, 0.6331042005989943, 0.02660933985158824, 0, 0, 0, 0
2.7499999999999996, 0.6575229091809276, 0.026828767786231604, 0, 0, 0, 0
3.0, 0.6831531975596823, 0.0270361244044222, 0, 0, 0, 0
3.2500000000000004, 0.7141889958011785, 0.027009458809202885, 0, 0, 0, 0
3.5, 0.7366505370190157, 0.02736399236071708, 0, 0, 0, 0
3.7499999999999996, 0.7648903818832318, 0.02747453411729292, 0, 0, 0, 0
4.0, 0.7910798609374425, 0.02766717232940279, 0, 0, 0, 0
4.25, 0.8144733866143732, 0.028021402161565595, 0, 0, 0, 0
4.5, 0.8464411693149627, 0.02796384303204403, 0, 0, 0, 0
4.75, 0.8664795509391573, 0.028461606624142776, 0, 0, 0, 0
5.0, 0.8912710533047279, 0.028755270265287243, 0, 0, 0, 0
5.25, 0.920349684182128, 0.02882933731448043, 0, 0, 0, 0
5.499999999999999, 0.9405744626981412, 0.02934722527143623, 0, 0, 0, 0
5.75, 0.9660183541850773, 0.029596982668199753, 0, 0, 0, 0
6.0, 0.9930466192524721, 0.02976971489944365, 0, 0, 0, 0
6.25, 1.0125258102012105, 0.030317007546268558, 0, 0, 0, 0
6.500000000000001, 1.036758121891325, 0.0306314398056997, 0, 0, 0, 0
6.75, 1.064904768309632, 0.030688367388433262, 0, 0, 0, 0
7.0, 1.0832655779074585, 0.031196790585642526, 0, 0, 0, 0
7.25, 1.1031175626398342, 0.03150020462785131, 0, 0, 0, 0
7.499999999999999, 1.122689952034482, 0.03173866390194718, 0, 0, 0, 0
7.75, 1.1412371585241272, 0.03199329409298378, 0, 0, 0, 0
8.0, 1.1584795867710416, 0.03230548434891134, 0, 0, 0, 0
8.25, 1.1743240383293159, 0.03263664667989478, 0, 0, 0, 0
8.5, 1.1893297038744062, 0.03289693536981502, 0, 0, 0, 0
8.75, 1.1960407077335657, 0.03365527102704077, 0, 0, 0, 0
9.0, 1.2015401317959036, 0.03441011613453632, 0, 0, 0, 0
9.25, 1.2087171278846098, 0.03514376952935388, 0, 0, 0, 0
9.5, 1.2117933923533049, 0.03639420149897203, 0, 0, 0, 0
9.75, 1.2162676335106404, 0.03762496463610283, 0, 0, 0, 0
10.0, 1.2179459212906953, 0.039321610430337155, 0, 0, 0, 0
10.25, 1.2189718199493853, 0.041217513335115065, 0, 0, 0, 0
10.5, 1.2185997419194352, 0.04348678786955204, 0, 0, 0, 0
10.75, 1.2174820763222103, 0.04602753616302251, 0, 0, 0, 0
10.999999999999998, 1.2160848153872574, 0.048828016886650796, 0, 0, 0, 0
11.25, 1.214780752898214, 0.05178641832934565, 0, 0, 0, 0
11.5, 1.2140358810846261, 0.05481989865408496, 0, 0, 0, 0
11.75, 1.2138501999464948, 0.057887939440389106, 0, 0, 0, 0
12.0, 1.2151556939429127, 0.060913884187230816, 0, 0, 0, 0
12.25, 1.2183251568575173, 0.06383374252040051, 0, 0, 0, 0
12.5, 1.222333405785306, 0.06659315014742298, 0, 0, 0, 0
12.75, 1.227832829847644, 0.06941639287400375, 0, 0, 0, 0
13.000000000000002, 1.23361184924771, 0.07209159098718569, 0, 0, 0, 0
13.25, 1.240788845336416, 0.07475933055146876, 0, 0, 0, 0
13.5, 1.2475930476414847, 0.07762336443314909, 0, 0, 0, 0
13.75, 1.2574727986615617, 0.07990359010035385, 0, 0, 0, 0
14.0, 1.263065421169809, 0.08308452077945107, 0, 0, 0, 0
14.25, 1.2638117244907707, 0.08703564591720887, 0, 0, 0, 0
14.5, 1.2673539811890127, 0.0905367196480982, 0, 0, 0, 0
14.75, 1.2833848296391057, 0.092056809607724, 0, 0, 0, 0
14.999999999999998, 1.2726677241132192, 0.09804422820637736, 0, 0, 0, 0
15.25, 1.26092543568233, 0.1044676402842012, 0, 0, 0, 0
15.5, 1.247598773670982, 0.11146431317893367, 0, 0, 0, 0
15.75, 1.2319421505119006, 0.11928438013778954, 0, 0, 0, 0
16.0, 1.210320826814622, 0.12896294287103724, 0, 0, 0, 0
16.25, 1.1678230512336514, 0.14508621650500073, 0, 0, 0, 0
19.525000000000002, 1.1541739734771386, 0.16331483152545476, 0, 0, 0, 0
22.8, 1.11566237637964, 0.22394483576010224, 0, 0, 0, 0
26.075, 1.097610910976102, 0.293540233792284, 0, 0, 0, 0
29.35, 1.0909417227969103, 0.3716421027033829, 0, 0, 0, 0
32.625, 1.0708367059806296, 0.4485337246133835, 0, 0, 0, 0
